GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPetStore Demo 6,org.mybatis.jpetstore.domain,Account,0,129,0,0,0,55,0,37,0,37
JPetStore Demo 6,org.mybatis.jpetstore.domain,Cart,0,128,0,4,0,32,0,14,0,12
JPetStore Demo 6,org.mybatis.jpetstore.domain,Sequence,0,26,0,0,0,12,0,6,0,6
JPetStore Demo 6,org.mybatis.jpetstore.domain,Product,0,35,0,0,0,14,0,10,0,10
JPetStore Demo 6,org.mybatis.jpetstore.domain,Category,3,25,0,0,1,10,1,7,1,7
JPetStore Demo 6,org.mybatis.jpetstore.domain,LineItem,0,100,0,0,0,34,0,17,0,17
JPetStore Demo 6,org.mybatis.jpetstore.domain,Order,0,327,0,2,0,119,0,59,0,58
JPetStore Demo 6,org.mybatis.jpetstore.domain,Item,34,72,0,0,9,29,5,21,5,21
JPetStore Demo 6,org.mybatis.jpetstore.domain,CartItem,0,62,0,0,0,19,0,11,0,11
JPetStore Demo 6,org.mybatis.jpetstore.service,CatalogService,0,91,0,4,0,16,0,11,0,9
JPetStore Demo 6,org.mybatis.jpetstore.service,OrderService,0,157,0,2,0,37,0,9,0,8
JPetStore Demo 6,org.mybatis.jpetstore.service,AccountService,1,59,1,1,0,14,1,7,0,7
JPetStore Demo 6,org.mybatis.jpetstore.web.actions,CartActionBean,135,0,8,0,36,0,14,0,10,0
JPetStore Demo 6,org.mybatis.jpetstore.web.actions,AbstractActionBean,16,6,0,0,4,2,2,2,2,2
JPetStore Demo 6,org.mybatis.jpetstore.web.actions,CatalogActionBean,166,33,8,0,48,11,20,11,16,11
JPetStore Demo 6,org.mybatis.jpetstore.web.actions,AccountActionBean,174,66,7,1,39,10,17,7,13,7
JPetStore Demo 6,org.mybatis.jpetstore.web.actions,OrderActionBean,213,35,14,0,54,7,19,5,12,5
